Connecting to /Users/enrichmentcap/Documents/antigravity/ccmed/jump_start/data/khan_academy.sqlite3...
Found 9072 exercise nodes with Perseus files
Filtered to 7422 exercises under 'Math'
Already downloaded: 2437/7422 (resuming)
Starting 10 parallel workers...

[50/7422] +0 downloaded, 50 skipped, 0 failed
[100/7422] +0 downloaded, 100 skipped, 0 failed
[150/7422] +0 downloaded, 150 skipped, 0 failed
[200/7422] +0 downloaded, 200 skipped, 0 failed
[250/7422] +0 downloaded, 250 skipped, 0 failed
[300/7422] +0 downloaded, 300 skipped, 0 failed
[350/7422] +0 downloaded, 350 skipped, 0 failed
[400/7422] +0 downloaded, 400 skipped, 0 failed
[450/7422] +0 downloaded, 450 skipped, 0 failed
[500/7422] +0 downloaded, 500 skipped, 0 failed
[550/7422] +0 downloaded, 550 skipped, 0 failed
[600/7422] +0 downloaded, 600 skipped, 0 failed
[650/7422] +0 downloaded, 650 skipped, 0 failed
[700/7422] +0 downloaded, 700 skipped, 0 failed
[750/7422] +0 downloaded, 750 skipped, 0 failed
[800/7422] +0 downloaded, 800 skipped, 0 failed
[850/7422] +0 downloaded, 850 skipped, 0 failed
[900/7422] +0 downloaded, 900 skipped, 0 failed
[950/7422] +0 downloaded, 950 skipped, 0 failed
[1000/7422] +0 downloaded, 1000 skipped, 0 failed
[1050/7422] +0 downloaded, 1050 skipped, 0 failed
[1100/7422] +0 downloaded, 1100 skipped, 0 failed
[1150/7422] +0 downloaded, 1150 skipped, 0 failed
[1200/7422] +0 downloaded, 1200 skipped, 0 failed
[1250/7422] +0 downloaded, 1250 skipped, 0 failed
[1300/7422] +0 downloaded, 1300 skipped, 0 failed
[1350/7422] +0 downloaded, 1350 skipped, 0 failed
[1400/7422] +0 downloaded, 1400 skipped, 0 failed
[1450/7422] +0 downloaded, 1450 skipped, 0 failed
[1500/7422] +0 downloaded, 1500 skipped, 0 failed
[1550/7422] +0 downloaded, 1550 skipped, 0 failed
[1600/7422] +0 downloaded, 1600 skipped, 0 failed
[1650/7422] +0 downloaded, 1650 skipped, 0 failed
[1700/7422] +0 downloaded, 1700 skipped, 0 failed
[1750/7422] +0 downloaded, 1750 skipped, 0 failed
[1800/7422] +0 downloaded, 1800 skipped, 0 failed
[1850/7422] +0 downloaded, 1850 skipped, 0 failed
[1900/7422] +0 downloaded, 1900 skipped, 0 failed
[1950/7422] +0 downloaded, 1950 skipped, 0 failed
[2000/7422] +0 downloaded, 2000 skipped, 0 failed
[2050/7422] +0 downloaded, 2050 skipped, 0 failed
[2100/7422] +0 downloaded, 2100 skipped, 0 failed
[2150/7422] +0 downloaded, 2150 skipped, 0 failed
[2200/7422] +0 downloaded, 2200 skipped, 0 failed
[2250/7422] +0 downloaded, 2250 skipped, 0 failed
[2300/7422] +0 downloaded, 2300 skipped, 0 failed
[2350/7422] +0 downloaded, 2350 skipped, 0 failed
[2400/7422] +0 downloaded, 2400 skipped, 0 failed
[2450/7422] +13 downloaded, 2437 skipped, 0 failed
[2500/7422] +63 downloaded, 2437 skipped, 0 failed
[2550/7422] +113 downloaded, 2437 skipped, 0 failed
[2600/7422] +163 downloaded, 2437 skipped, 0 failed
[2650/7422] +213 downloaded, 2437 skipped, 0 failed
[2700/7422] +263 downloaded, 2437 skipped, 0 failed
[2750/7422] +313 downloaded, 2437 skipped, 0 failed
[2800/7422] +363 downloaded, 2437 skipped, 0 failed
[2850/7422] +413 downloaded, 2437 skipped, 0 failed
[2900/7422] +463 downloaded, 2437 skipped, 0 failed
[2950/7422] +513 downloaded, 2437 skipped, 0 failed
[3000/7422] +563 downloaded, 2437 skipped, 0 failed
[3050/7422] +613 downloaded, 2437 skipped, 0 failed
[3100/7422] +663 downloaded, 2437 skipped, 0 failed
[3150/7422] +713 downloaded, 2437 skipped, 0 failed
[3200/7422] +763 downloaded, 2437 skipped, 0 failed
[3250/7422] +813 downloaded, 2437 skipped, 0 failed
[3300/7422] +863 downloaded, 2437 skipped, 0 failed
[3350/7422] +913 downloaded, 2437 skipped, 0 failed
[3400/7422] +963 downloaded, 2437 skipped, 0 failed
[3450/7422] +1013 downloaded, 2437 skipped, 0 failed
[3500/7422] +1063 downloaded, 2437 skipped, 0 failed
[3550/7422] +1113 downloaded, 2437 skipped, 0 failed
[3600/7422] +1163 downloaded, 2437 skipped, 0 failed
[3650/7422] +1213 downloaded, 2437 skipped, 0 failed
[3700/7422] +1263 downloaded, 2437 skipped, 0 failed
[3750/7422] +1313 downloaded, 2437 skipped, 0 failed
[3800/7422] +1363 downloaded, 2437 skipped, 0 failed
[3850/7422] +1413 downloaded, 2437 skipped, 0 failed
[3900/7422] +1463 downloaded, 2437 skipped, 0 failed
[3950/7422] +1513 downloaded, 2437 skipped, 0 failed
[4000/7422] +1563 downloaded, 2437 skipped, 0 failed
[4050/7422] +1613 downloaded, 2437 skipped, 0 failed
[4100/7422] +1663 downloaded, 2437 skipped, 0 failed
[4150/7422] +1713 downloaded, 2437 skipped, 0 failed
[4200/7422] +1763 downloaded, 2437 skipped, 0 failed
[4250/7422] +1813 downloaded, 2437 skipped, 0 failed
[4300/7422] +1863 downloaded, 2437 skipped, 0 failed
[4350/7422] +1913 downloaded, 2437 skipped, 0 failed
[4400/7422] +1963 downloaded, 2437 skipped, 0 failed
[4450/7422] +2013 downloaded, 2437 skipped, 0 failed
[4500/7422] +2063 downloaded, 2437 skipped, 0 failed
[4550/7422] +2113 downloaded, 2437 skipped, 0 failed
[4600/7422] +2163 downloaded, 2437 skipped, 0 failed
[4650/7422] +2213 downloaded, 2437 skipped, 0 failed
[4700/7422] +2263 downloaded, 2437 skipped, 0 failed
[4750/7422] +2313 downloaded, 2437 skipped, 0 failed
[4800/7422] +2363 downloaded, 2437 skipped, 0 failed
[4850/7422] +2413 downloaded, 2437 skipped, 0 failed
[4900/7422] +2463 downloaded, 2437 skipped, 0 failed
[4950/7422] +2513 downloaded, 2437 skipped, 0 failed
[5000/7422] +2563 downloaded, 2437 skipped, 0 failed
[5050/7422] +2613 downloaded, 2437 skipped, 0 failed
[5100/7422] +2663 downloaded, 2437 skipped, 0 failed
[5150/7422] +2713 downloaded, 2437 skipped, 0 failed
[5200/7422] +2763 downloaded, 2437 skipped, 0 failed
[5250/7422] +2813 downloaded, 2437 skipped, 0 failed
[5300/7422] +2863 downloaded, 2437 skipped, 0 failed
[5350/7422] +2913 downloaded, 2437 skipped, 0 failed
[5400/7422] +2963 downloaded, 2437 skipped, 0 failed
[5450/7422] +3013 downloaded, 2437 skipped, 0 failed
[5500/7422] +3063 downloaded, 2437 skipped, 0 failed
[5550/7422] +3113 downloaded, 2437 skipped, 0 failed
[5600/7422] +3163 downloaded, 2437 skipped, 0 failed
[5650/7422] +3213 downloaded, 2437 skipped, 0 failed
[5700/7422] +3263 downloaded, 2437 skipped, 0 failed
[5750/7422] +3313 downloaded, 2437 skipped, 0 failed
[5800/7422] +3363 downloaded, 2437 skipped, 0 failed
[5850/7422] +3413 downloaded, 2437 skipped, 0 failed
[5900/7422] +3463 downloaded, 2437 skipped, 0 failed
[5950/7422] +3513 downloaded, 2437 skipped, 0 failed
[6000/7422] +3563 downloaded, 2437 skipped, 0 failed
[6050/7422] +3613 downloaded, 2437 skipped, 0 failed
[6100/7422] +3663 downloaded, 2437 skipped, 0 failed
[6150/7422] +3713 downloaded, 2437 skipped, 0 failed
